index,company,body_style,wheel_base,length,engine_type,num_of_cylinders,horsepower,average_mileage,price
0,alfa-romero,convertible,88.6,168.8,dohc,four,111,21,175000
1,alfa-romero,convertible,88.6,168.8,dohc,four,111,21,212000
2,alfa-romero,hatchback,94.5,171.2,ohcv,six,154,19,212000
3,audi,sedan,?,176.6,ohc,four,102,24,232900
4,audi,sedan,99.4,176.6,ohc,five,115,18,291333.69
5,audi,sedan,99.8,177.3,ohc,five,110,19,254603.94
6,audi,wagon,105.8,192.7,ohc,five,110,19,315875.84
7,bmw,sedan,101.2,176.8,ohc,four,101,23,274304.44
8,bmw,sedan,101.2,176.8,ohc,four,101,23,282568.64
9,bmw,sedan,101.2,176.8,ohc,six,121,21,350101.29
10,bmw,sedan,103.5,189,ohc,six,182,16,513548.67
11,bmw,sedan,103.5,193.8,ohc,six,182,16,?
12,bmw,sedan,110,197,ohc,six,182,15,615724.16
13,chevrolet,hatchback,88.4,141.1,?,three,48,47,85997.7
14,chevrolet,hatchback,94.5,155.9,ohc,four,70,38,105097.17
15,chevrolet,sedan,94.5,158.8,ohc,four,70,38,109771.86
16,honda,wagon,96.5,157.1,ohc,four,76,30,121792.51
17,honda,sedan,96.5,175.4,ohc,four,101,24,216121.18
18,honda,sedan,96.5,169.1,ohc,four,100,25,172713.3
19,isuzu,sedan,94.3,170.7,ohc,four,78,24,113277.89
20,isuzu,sedan,94.5,155.9,ohc,four,70,38,115000
21,isuzu,sedan,94.5,155.9,ohc,four,70,38,125000
22,jaguar,sedan,113,199.6,dohc,six,176,15,538424.73
23,jaguar,sedan,113,199.6,dohc,six,176,15,593519.35
24,jaguar,sedan,102,191.7,ohcv,twelve,262,13,601032.26
25,mazda,hatchback,93.1,159.1,ohc,four,68,30,86732.29
26,mazda,hatchback,93.1,159.1,ohc,four,68,31,101758.1
27,mazda,hatchback,93.1,159.1,ohc,four,68,31,113444.84
28,mazda,hatchback,95.3,169,rotor,two,101,17,197756.31
29,mazda,sedan,n.a.,175,ohc,four,72,31,306259.33
30,mercedes-benz,sedan,110,190.9,ohc,five,123,22,426599.34
31,mercedes-benz,wagon,110,190.9,ohc,five,123,22,471609.98
32,mercedes-benz,sedan,120.9,208.1,ohcv,eight,184,14,683841.15
33,mercedes-benz,hardtop,112,199.2,ohcv,eight,184,14,757968.46
34,mitsubishi,hatchback,93.7,157.3,ohc,four,68,37,89971.19
35,mitsubishi,hatchback,93.7,157.3,ohc,four,68,31,103327.46
36,mitsubishi,sedan,96.3,172.4,ohc,four,88,25,116683.73
37,mitsubishi,sedan,96.3,172.4,ohc,four,88,25,136718.14
38,nissan,sedan,94.5,165.3,ohc,four,55,45,118520.22
39,nissan,sedan,n.a.,165.3,ohc,four,69,31,111007.32
40,nissan,sedan,94.5,165.3,ohc,four,69,31,114346.39
41,nissan,wagon,94.5,170.2,ohc,four,69,31,122694.06
42,nissan,sedan,100.4,184.6,ohcv,six,152,19,225370.4
43,porsche,hardtop,89.5,168.9,,six,207,17,418488
44,porsche,convertible,89.5,168.9,ohcf,six,207,17,508988
45,porsche,hatchback,98.4,175.7,dohcv,eight,288,17,682188
46,toyota,hatchback,95.7,158.7,ohc,four,62,35,89286.68
47,toyota,hatchback,95.7,158.7,ohc,four,62,31,105815.07
48,toyota,hatchback,95.7,158.7,ohc,four,62,31,108319.37
49,toyota,wagon,95.7,169.7,ohc,four,62,31,115498.37
50,toyota,wagon,95.7,169.7,ohc,four,62,27,131859.8
51,toyota,wagon,95.7,169.7,ohc,four,62,27,146551.7
52,toyota,wagon,104.5,187.8,dohc,six,156,19,262951.61
53,volkswagen,sedan,97.3,171.7,ohc,four,52,37,129806.27
54,volkswagen,sedan,97.3,171.7,ohc,four,85,27,133145.34
55,volkswagen,sedan,97.3,171.7,ohc,four,52,37,133479.25
56,volkswagen,sedan,97.3,171.7,ohc,four,100,26,166869.93
57,volvo,sedan,104.3,188.8,ohc,four,114,23,216037.71
58,volvo,wagon,104.3,188.8,ohc,four,114,23,223967.99
